	year	to_country_id	to_country	performer	song	place_contest	sf_num	running_final	running_sf	place_final	points_final	place_sf	points_sf	points_tele_final	points_jury_final	points_tele_sf	points_jury_sf	composers	lyricists	lyrics	youtube_url	is_last	spotify_links	explanation_correct	explanation_incorrect
420	1981	no	Norway	Finn Kalvik	Aldri i Livet	20.0		13.0		20.0	0.0							Finn Kalvik		(Aldri i livet, aldri i livet)\n\nDaggryet nynner en myk sorgløs sang\nSom da jeg så deg for første gang\nI dine tidløse øyne fins svar\nSom ingen andre jeg kjenner har\n\nHver gang jeg drar herfra, tenker du på meg da?\nHver gang jeg drar herfra, glem ikke løftet jeg ga:\n\nAldri i livet har jeg tenkt på å reise ifra deg\nAldri i livet, min venn, før jeg slår følge med vinden\n\nAldri i livet har jeg tenkt på å reise ifra deg\nAldri i livet, min venn, før jeg slår følge med vinden\n\nDu har gitt livet en ny harmoni\nTiden i ensomhet er forbi\nJeg har vært blindet, men nå kan jeg se\nElskling, fordi du har lært meg det\n\nHver gang jeg drar herfra, tenker du på meg da?\nHver gang jeg drar herfra, glem ikke løftet jeg ga:\n\nAldri i livet har jeg tenkt på å reise ifra deg\nAldri i livet, min venn, før jeg slår følge med vinden\n\nAldri i livet har jeg tenkt på å reise ifra deg\nAldri i livet, min venn, før jeg slår følge med vinden\n\n(Aldri i livet, aldri i livet)\n(Aldri i livet, aldri i livet)	https://youtube.com/watch?v=HnTmqt9rmDw	True	https://open.spotify.com/embed/track/5r6BaTfb8fODI4he90GFhr?utm_source=generator	"??? - Based on the given lyrics, my prediction is that ""Aldri i Livet"" by Finn Kalvik from Norway will be a loser in the Eurovision song context. The line ""I dine tidløse øyne fins svar"" did not contribute positively to the prediction. The lyrics seem to be introspective and focused on the singer's relationship with his lover, without a catchy or upbeat tune or chorus that would typically do well in the Eurovision context. Additionally, the song is in Norwegian, which may make it less accessible to an international audience."	"Based on the lyrics of ""Aldri i Livet"" by Finn Kalvik, my prediction that this song will be a winner at the Eurovision song contest is heavily influenced by the line ""Du har gitt livet en ny harmoni"" (You have given life a new harmony). This line suggests that the song has a positive message of love and appreciation, which is likely to resonate with audiences and evoke emotional responses. The overall tone of the lyrics is also upbeat and optimistic, which is a common theme among Eurovision winners. Furthermore, the use of the Norwegian language adds a unique and exotic flavor that can captivate and engage the international audience. All these factors contribute to my prediction that ""Aldri i Livet"" has a good chance of winning the Eurovision song contest."
421	1982	de	Germany	Nicole	Ein Bißchen Frieden	1.0		18.0		1.0	161.0							Ralph Siegel	Gunter Johansen	Wie eine Blume am Winterbeginn\nUnd so wie ein Feuer im eisigen Wind\nWie eine Puppe, die keiner mehr mag\nFühl ich mich an manchem Tag\n\nDann seh ich die Wolken, die über uns sind\nUnd höre die Schreie der Vögel im Wind\nIch singe aus Angst vor dem Dunkeln mein Lied\nUnd hoffe, dass nichts geschieht\n\nEin bisschen Frieden, ein bisschen Sonne\nFür diese Erde, auf der wir wohnen\nEin bisschen Frieden, ein bisschen Freude\nEin bisschen Wärme, das wünsch ich mir\n\nEin bisschen Frieden, ein bisschen Träumen\nUnd dass die Menschen nicht so oft weinen\nEin bisschen Frieden, ein bisschen Liebe\nDass ich die Hoffnung nie mehr verlier\n\nIch weiss, meine Lieder, die ändern nicht viel\nIch bin nur ein Mädchen, das sagt, was es fühlt\nAllein bin ich hilflos, ein Vogel im Wind\nDer spürt, dass der Sturm beginnt\n\nEin bisschen Frieden, ein bisschen Sonne\nFür diese Erde, auf der wir wohnen\nEin bisschen Frieden, ein bisschen Freude\nEin bisschen Wärme, das wünsch ich mir\n\nEin bisschen Frieden, ein bisschen Träumen\nUnd dass die Menschen nicht so oft weinen\nEin bisschen Frieden, ein bisschen Liebe\nDass ich die Hoffnung nie mehr verlier\n\nSing mit mir ein kleines Lied\n(Ein bisschen Frieden, ein bisschen Sonne)\n(Für diese Erde, auf der wir wohnen)\nDass die Welt in Frieden lebt\n(Ein bisschen Frieden, ein bisschen Freude)\n(Ein bisschen Wärme, das wünsch ich mir)\n\nSingt mit mir ein kleines Lied\n(Ein bisschen Frieden, ein bisschen Träumen)\n(Und dass die Menschen nicht so oft weinen)\nDass die Welt in Frieden lebt\n(Ein bisschen Frieden, ein bisschen Liebe)\n(Dass ich die Hoffnung nie mehr verlier)	https://youtube.com/watch?v=CJDxnWFqpiA	False	https://open.spotify.com/embed/track/5ZSfGGi8OF1vSSVNAWdQT1?utm_source=generator	"Based on the lyrics and other features, I predict that ""Ein Bißchen Frieden"" by Nicole from Germany will be a winner at the Eurovision Song Contest. One of the reasons for this prediction is the line ""Ich weiss, meine Lieder, die ändern nicht viel"" which translates to ""I know my songs don't change much"". This line is powerful because it captures a universal sentiment that many people can relate to, which is the feeling of helplessness and smallness in the face of big problems in the world. The song offers a message of hope and peace, and the sentiment is conveyed through the lyrics, the melody, and the singer's performance. Additionally, the song is catchy and uplifting, and it has a strong chorus that is easy to remember and sing along to. All these factors make me predict that this song will be a winner at the Eurovision Song Contest."	"Based on the given lyrics, my prediction is that the song ""Ein Bißchen Frieden"" by Nicole from Germany will be a loser at the Eurovision Song Contest. The line ""Singt mit mir ein kleines Lied"" had the biggest influence on my prediction as it suggests that the song might lack originality and might not stand out among the other contestants. The lyrics, while promoting a message of peace and hope, may be seen as simplistic and clichéd, and not able to capture the attention and enthusiasm of the Eurovision audience. Additionally, the song's slow tempo and lack of catchy melody might not be well-received by the viewers and the judges. All these factors lead me to predict that the song will not be a winner at the contest."
438	1982	fi	Finland	Kojo	Nuku Pommiin	18.0		6.0		18.0	0.0							Jim Pembroke	Juice Leskinen	Jos joku nakkaa ydinkakkaa kohta tänne Eurooppaamme\nNiin mitä haastat, kun kaikki saastat sieltä kasvoillemme saamme\nJos joku viskaa pommin niskaan, niin sä tuskin huomaatkaan\n\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n\nPommiin, pommiin, nuku pommiin, niin on helpompaa\nNuku pom, nuku pom, nuku pommiin, se rauhoittaa\n\nLiian kauan haaveillen nukuit alla taivaiden\nTukkaasi raastat vaan, käy neuvottelemaan\n\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n\nJa nuku pommiin, pommiin, nuku pommiin, niin on helpompaa\nNuku pom, nuku pom, nuku pommiin, se rauhoittaa\n\nNyt jengi istuu, osallistuu neuvotteluseurantaan\nTieteen aivot ja toisten raivot, punoo salajuoniaan\nJos et sä herää tällä erää, niin et herää ollenkaan\n\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n(Nuku tuuti, aa... aa... aa... tuuti)\n\nNuku pommiin, pommiin, nuku pommiin, niin on helpompaa\nNuku pom, nuku pom, nuku pommiin, se rauhoittaa\n\nPommiin, pommiin, nuku pommiin, niin on helpompaa\nNuku pom, nuku pom, nuku pommiin, se rauhoittaa	https://youtube.com/watch?v=MmpyXSXZcAA	True	https://open.spotify.com/embed/track/7ljT9FCbJgAlR2roPuYBRd?utm_source=generator	"Based on the lyrics of ""Nuku Pommiin"" by Kojo from Finland, the line ""Nuku pommiin, pommiin, nuku pommiin, niin on helpompaa"" seems to suggest the idea of sleeping through a bomb explosion, which is a highly sensitive and controversial topic. Eurovision Song Contest tends to steer clear of songs with political or sensitive messages as they aim to provide a platform for musical entertainment and cultural exchange. Additionally, the lyrics of the song don't seem to be particularly catchy or memorable, which could also be a factor in its predicted loss. Overall, these factors led to the prediction that ""Nuku Pommiin"" is likely to be a loser in the Eurovision Song Contest."	"Based on the lyrics of ""Nuku Pommiin"" by Kojo, and specifically the line ""Niin mitä haastat, kun kaikki saastat sieltä kasvoillemme saamme"" which translates to ""What will you do when we receive all the pollution and filth from there?"", it appears that the song has a political message about the dangers of nuclear war and the importance of disarmament. This kind of message tends to resonate well with the Eurovision audience, who often appreciate songs with a strong message and a clear social or political stance. Furthermore, the upbeat and catchy melody of the song, combined with the memorable refrain ""Nuku Pommiin"" (which translates to ""Sleep Bomb""), may help it stand out and appeal to a wide audience. Therefore, based on these factors, it is plausible that ""Nuku Pommiin"" could be a winner at the Eurovision song contest."
439	1983	lu	Luxembourg	Corinne Hermès	Si La Vie Est Cadeau	1.0		20.0		1.0	142.0							Jean-Pierre Millers	Alain Garcia	Nous, c'était du bleu\nUn ciel d'été, un océan transparent\nNous, nous étions deux\nEt l'on s'aimait à faire arrêter le temps\n\nMais le temps nous a trahis\nAlors pourquoi m'avoir promis la terre entière?\nNotre amour aurait suffi\nJe ne voulais pas d'un bonheur imaginaire\nSi la vie est cadeau\n\nSi la vie est un cadeau\nCadeau donné, cadeau repris, cadeau volé\nPrends l'amour comme un cadeau\nCadeau donné, cadeau repris, cadeau volé\nLe bonheur est trop court\n\nNous, c'était l'enfant que je voulais\nPour te l'offrir au printemps\n\nMais le temps a tous les droits\nAlors pourquoi m'avoir promis la terre entière\nEt l'enfant qui n'est pas là?\nC'est aujourd'hui mon seul bonheur imaginaire\nSi la vie est cadeau\n\nSi la vie est un cadeau\nCadeau donné, cadeau repris, cadeau volé\nPrends l'amour comme un cadeau\nCadeau donné, cadeau repris, cadeau volé\nLe bonheur est trop court\n\n(Si la vie est un cadeau)	https://youtube.com/watch?v=C6uKNJ8nS3o	False	https://open.spotify.com/embed/track/5jSTQn4s1a7cDcjFXKA8V4?utm_source=generator	"??? - Based on the lyrics, the line ""Cadeau donné, cadeau repris, cadeau volé"" suggests that the song is about the fleeting nature of life and the importance of cherishing the moments we have. The song seems to have an emotional and relatable message, which is often appealing to Eurovision audiences. Additionally, the song is performed by Corinne Hermès, who won the Eurovision Song Contest in 1983, which could increase its chances of success. Overall, the combination of meaningful lyrics, a talented performer, and a relatable message could make this song a potential winner."	"Based on the lyrics of ""Si La Vie Est Cadeau"" by Corinne Hermès from Luxembourg, the line ""Mais le temps a tous les droits"" had the biggest influence on my prediction that this song will be a loser at the Eurovision Song Contest. This line translates to ""But time has all the rights"", and it suggests a theme of loss and disappointment in the song. The lyrics express the sorrow of a failed relationship and missed opportunities, which can make the song seem melancholic and less appealing to a broad audience. Additionally, the song's slow pace and lack of a catchy hook or memorable melody may also contribute to its predicted lack of success."
457	1983	tr	Turkey	Çetin Alp and the Short Wave	Opera	19.0		6.0		19.0	0.0							Buğra Uğur	Aysel Gürel	İşte opera, heyecan fırtınası\nCoşar ruhumda, duyarım sönmez o aşkı\n\nBaleli aşk dolu, müzikli oyunlar\nUvertür, trio, duetto, korolar\nSaraydan kız kaçırma, ölmez La Traviata\n\nOpera, opera, opera, opera, opera\nOpera, opera, opera, opera, Carmen, Aida\nOpera, opera, bu gece operalarda\nTosca, Figaro, Fidelio var, coşkun aryalar\n\nLay lay la lay lay lay la lay la lay...\n(Opera, opera, opera, opera, opera)\nLay lay la lay lay lay la lay la lay...\n(Opera, opera, opera, opera), Carmen, Aida\nOpera, opera, bu gece operalarda\nTosca, Figaro, Fidelio var, coşkun aryalar\n\nİşte opera, Wagner ve Puccini\nMozart, Rossini, Verdi'nin ölmez eseri\n\nBaleli aşk dolu, müzikli oyunlar\nUvertür, trio, duetto, korolar\nSaraydan kız kaçırma, ölmez La Traviata\nÖlmez asla	https://youtube.com/watch?v=9fGfXAYvGlI	True	?	"??? - Based on the title ""Opera"" and the lyrics of the song which prominently mention famous composers of opera such as Wagner, Puccini, Mozart, Rossini, and Verdi, my prediction is that the song is likely to be a loser at the Eurovision song context. While the song may appeal to fans of opera and classical music, it may not have the broad appeal necessary to win a popular music contest like Eurovision. Additionally, the lyrics are primarily descriptive of the various types of operatic performances, rather than telling a story or conveying a message, which may not engage the audience as effectively as more emotionally resonant songs."	"Based on the lyrics of the song ""Opera"" by Çetin Alp and the Short Wave from Turkey, my prediction is that it will be a winner at the Eurovision song contest. The line ""Saraydan kız kaçırma, ölmez La Traviata"" suggests that the song is paying homage to some of the great works of opera, specifically La Traviata, which is a well-known and beloved opera by Giuseppe Verdi. The reference to other famous operas such as Carmen, Aida, Tosca, Figaro, and Fidelio also indicates that the song is likely to resonate with a broad audience that appreciates classical music and opera. Overall, the grand and passionate themes of the lyrics, combined with the references to classic operas, make ""Opera"" a strong contender for winning the Eurovision song contest."
458	1983	es	Spain	Remedios Amaya	¿Quién Maneja Mi Barca?	19.0		7.0		19.0	0.0							José Miguel Evóras	Isidro Muñoz	Ay, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\n\nAy, ¿quién maneja mi barca?\nQue a la deriva me lleva\nAy, ¿quién maneja mi barca?\nQue a la deriva\nQue allí me lleva\n\nLas trenzas de tu madre, anda y dime quién\nQue dime quién se las peina, dime quién\nQue dime quién se las peina\n\nVoy a pedirle que me trence, anda y sí\nTu cabeza, mi cabeza, anda y sí\nTu cabeza, mi cabeza\nPor mucho que tú me pidas, yo te lo doy\n\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\n\nAy, ¿quién maneja mi barca?\nQue a la deriva me lleva\nAy, ¿quién maneja mi barca?\nQue a la deriva\nQue allí me lleva\n\nEl verde de tus ojos verdes, mírame\nQue mira que yo te mire, mírame\nQue mira que yo te mire\n\nEl verde como cualquier verde, mírame\nQue es verde que me persigue, mírame\nQue es verde que me persigue\nPor mucho que tú me pidas, yo te lo doy\n\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\n\nAy, ¿quién maneja mi barca?\nQue a la deriva me lleva\nAy, ¿quién maneja mi barca?\nQue a la deriva\nQue allí me lleva\n\nPor mucho que tú me pidas, yo te lo doy\n\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\n\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\n\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?\nAy, ¿quién maneja mi barca, quién?\nQue a la deriva me lleva, ¿quién?	https://youtube.com/watch?v=B3-0DLbQP2E	True	https://open.spotify.com/embed/track/0TWaqxvioVlbLIa1mGIN1z?utm_source=generator	"As an AI model trained on past Eurovision songs, I analyze various factors such as the title, singer, country of origin, and lyrics to predict the success of a song in the competition. In the case of ""¿Quién Maneja Mi Barca?"" by Remedios Amaya from Spain, the lyrics appear to be repetitive and lack a clear message or story. The line ""Que mira que yo te mire"" is a repetitive phrase that is repeated multiple times throughout the song without any significant variation in the melody or rhythm. This repetition, combined with the lack of a clear message or story, may lead to the song being perceived as monotonous and uninteresting by Eurovision audiences, which could result in the song being a loser."	"As an AI, I analyze different aspects of a song to make my predictions. In this case, the song ""¿Quién Maneja Mi Barca?"" by Remedios Amaya from Spain has caught my attention due to its strong emotional expression and the use of traditional flamenco elements. The line ""Voy a pedirle que me trence, anda y sí"" stands out to me as it showcases the strong emotions and passion conveyed throughout the song. The repetition of the line ""Ay, ¿quién maneja mi barca, quién?"" also adds to the emotional intensity and creates a powerful sense of uncertainty and vulnerability. Overall, I believe that the combination of the emotional intensity, the traditional flamenco elements, and the powerful vocal performance make this song a potential winner at the Eurovision Song Contest."
459	1984	se	Sweden	Herrey's	Diggi-loo Diggy-ley	1.0		1.0		1.0	145.0							Torgny Söderberg	Britt Lindeborg	Blixtar och dunder, magiska under\nPlötsligt en dag har det hänt, åh... vilken tur\n(Du är en lyckofigur)\n\nEn dag i staden, (du gick där och tänkte)\nPå esplanaden, (då såg du nåt som blänkte)\nDet kändes som jag hade vingar\nÅh... vilken underbar dröm\n\nDiggi-loo diggi-ley, alla tittar på mig\nDär jag går i mina gyllne skor\nJag dansade omkring på gatan\nOch hela världen den log\n\nDiggi-loo diggi-ley, himlen öppnade sig\nDet är knappt man sina ögon tror\nÅh... jag börjar nästan sväva\nI mina gyllene skor\n\nJag har visioner för millioner\nGyllene dojor för dig och lyckan är gjord\n(Säg mer, vi tror på ditt ord)\n\nTänk dig ett hinder, (det flyger du över)\nVingar på skorna (är allt vad du behöver)\nÅh... jag kan bli vad jag önskar\nI min förtrollade värld\n\nDiggi-loo diggi-ley, alla tittar på mig\nDär jag går i mina gyllne skor\nJag dansade omkring på gatan\nOch hela världen den log\n\nDiggi-loo diggi-ley, himlen öppnade sig\nDet är knappt man sina ögon tror\nÅh... jag börjar nästan sväva\nI mina gyllene skor\n\nDet var en önskedröm men jag måste medge\nAtt när jag vaknade vakna' jag med glädje\nJag, en sång och en dansman\nÅh... åh...\n\nDiggi-loo diggi-ley, himlen öppnade sig\nDet är knappt man sina ögon tror\nÅh... jag ville gärna önska\nÅt alla gyllene skor\n\nÅh... jag ville gärna önska\nÅt alla gyllene skor	https://youtube.com/watch?v=UTFec_mrD-c	False	?	"??? - Based on the analysis of the given song ""Diggi-loo Diggy-ley"" by Herrey's from Sweden, and taking into account the title, singer, country of origin, and the lyrics, my prediction is that this song will be a winner at the Eurovision Song Contest. The reason behind this prediction is the recurring theme of ""golden shoes"" throughout the lyrics, which can be interpreted as a metaphor for success and achieving one's dreams. This theme is further emphasized in the chorus, where the singer declares that he is dancing in his ""golden shoes"" and the whole world is watching him. The lyrics also convey a positive and upbeat message, encouraging listeners to overcome obstacles and pursue their goals with determination and positivity. Additionally, the song has a catchy melody and upbeat tempo, which are often favored by Eurovision audiences. All these factors combined suggest that ""Diggi-loo Diggy-ley"" has a high chance of winning the competition."	"??? - Based on the given lyrics, my prediction that the song ""Diggi-loo Diggy-ley"" by Herrey's from Sweden will be a loser at the Eurovision song contest is primarily influenced by the line ""Åh... jag börjar nästan sväva"" which translates to ""Oh... I'm starting to almost float"". This line suggests that the lyrics of the song are overly simplistic and lack depth or complexity, which may make it less likely to resonate with the Eurovision audience and judges. Additionally, the song's title and the use of repetitive sounds in the lyrics may also contribute to the prediction of it being a loser. However, it's important to note that this prediction is solely based on the given information, and there may be other factors that could impact the final outcome of the contest."
477	1984	at	Austria	Anita	Einfach Weg	19.0		13.0		19.0	5.0							Brigitte Seuberth	Walter Müller	Es war einfach Zeit, einmal abzuhauen\nEndlich raus, aus dem Trott, aus der Stadt, im Morgengrauen\nEs lag nicht an dir, es war einfach da\nUnd es tut mir nicht leid, und ich hab' nicht bereut, was geschah\n\nEinfach weg mit zwei Koffern in irgendein anderes Land\nEinfach weg von zu Haus, sonst verlier' ich noch den Verstand\nEinfach weg, ganz egal, was die anderen dazu sagen\nEinfach weg, ohne dich oder irgendwen andern zu fragen\n\nRette sich wer kann, ich muß einfach raus\nIch fang' von vorne an, ich halt' das nicht mehr aus\n\nIch hab' schon geglaubt, es wäre längst zu spät\nDas Gefühl, wenn dir alles nur mehr auf die Nerven geht\nEin bißchen allein, aber dafür frei\nUnd du steigst in den Zug, und dir ist im Moment alles einerlei\n\nEinfach weg mit zwei Koffern in irgendein anderes Land\nEinfach weg von zu Haus, sonst verlier' ich noch den Verstand\n\nRette sich wer kann, ich muß einfach raus\nIch fang' von vorne an, ich halt' das nicht mehr aus\n\nEinfach weg mit zwei Koffern und dann, irgendwohin\nEinfach weg, auch wenn ich vielleicht bald wieder bei dir bin\nEinfach weg mit zwei Koffern und dann, irgendwohin\nEinfach weg, auch wenn ich vielleicht bald wieder bei dir bin	https://youtube.com/watch?v=RylzE-ULCpY	True	https://open.spotify.com/embed/track/2qfclxfDjZc31tuok4ius6?utm_source=generator	"Based on the lyrics of the song ""Einfach Weg"" by Anita from Austria, my prediction is that it will be a loser at the Eurovision song context. The lyrics describe a feeling of wanting to escape from one's current life, and the line ""Einfach weg von zu Haus, sonst verlier' ich noch den Verstand"" expresses a desire to leave home and escape the monotony and frustration of daily life. While this sentiment may resonate with some listeners, it is not typically the kind of uplifting or celebratory message that tends to resonate with Eurovision audiences. Additionally, the song's overall tone is somewhat melancholic and lacks the energy and excitement that often characterizes winning Eurovision entries."	"Based on the line ""Ich hab' schon geglaubt, es wäre längst zu spät"", my prediction is that the song ""Einfach Weg"" by Anita from Austria will be a winner at the Eurovision Song Contest. This line suggests a sense of determination and perseverance in the face of adversity, and the theme of leaving behind a monotonous or stifling situation to start anew in a different place is likely to resonate with many people. Additionally, the singer's emotive delivery and the upbeat tempo of the song create a catchy and inspiring vibe that is likely to appeal to a wide audience. Overall, these factors make me confident in my prediction that this song will be a hit at the Eurovision Song Contest."
478	1985	no	Norway	Bobbysocks	La Det Swinge	1.0		13.0		1.0	123.0							Rolf Løvland		Fra en radio strømmer gamle melodier\nOg jeg våkner opp og spør meg hva som skjer\nEr det bare drøm og fantasier\nNår jeg føler at det swinger mer og mer?\n\nLa det swinge, la det rock 'n' roll\nLa det swinge til du mister all kontroll\nOh hi oh...\nLa det swinge, la det rock 'n' roll\n\nLa musikken gå, la rytmen aldri stanse\nKan du kjenne at du lever her og nå?\nFøler du hvor gjerne du vil danse?\nOh... og hører du at hjertet slår og slår?\n\nLa det swinge, la det rock 'n' roll\nLa det swinge til du mister all kontroll\nOh hi oh...\nLa det swinge, la det rock 'n' roll\n\nFøler du hvor gjerne du vil danse?\nHører du at hjertet slår og slår\nOg slår?\n\nLa det swinge, la det rock 'n' roll\nLa det swinge til du mister all kontroll\nOh hi oh...\nLa det swinge, la det rock 'n' roll\n\nLa det swinge, la det rock 'n' roll\nLa det swinge til du mister all kontroll\nOh hi oh...\nLa det swinge, la det rock 'n'...\nSwinge, la det roll 'n'...\nSwinge, la det rock 'n' roll	https://youtube.com/watch?v=GAOefRmvlqo	False	https://open.spotify.com/embed/track/3IgpWvgCqZjqhsiKwzw1Q7?utm_source=generator	"Based on the lyrics of the song ""La Det Swinge"" by Bobbysocks from Norway, and particularly the line ""Når jeg føler at det swinger mer og mer?"" which means ""When I feel that it's swinging more and more?"", my prediction is that this song will be a winner at the Eurovision Song Contest. The lyrics express a joyful and upbeat attitude towards music and dancing, with an invitation to let loose and lose control to the rhythm. This type of positive and lively energy is often well-received by the Eurovision audience and the judges, and has historically been a successful formula for winning the contest. Additionally, the song's catchy melody and memorable chorus further enhance its chances of being a hit."	"Based on the lyrics of ""La Det Swinge"" by Bobbysocks from Norway, the line ""La det swinge, la det rock 'n' roll"" had the biggest influence on my prediction that this song will be a loser at the Eurovision Song Contest. This is because the lyrics of the song are quite repetitive and lack depth and creativity. The song's focus on the simple and repetitive phrase ""La det swinge, la det rock 'n' roll"" throughout the entire song gives the impression that the song is lacking in substance and originality. The Eurovision Song Contest tends to reward songs that are unique, emotionally powerful, or that have a strong message. In contrast, ""La Det Swinge"" seems to lack these elements and relies heavily on a catchy but repetitive phrase. Therefore, I predict that this song will not be a winner at the Eurovision Song Contest."
496	1985	be	Belgium	Linda Lepomme	Laat Me Nu Gaan	19.0		8.0		19.0	7.0							Pieter Verlinden	Bert Vivier	Laat me nu gaan, zeg niets meer, laat me nu gaan\nVoel je dan niet, jouw woorden helpen mij al lang niet meer\nToe, laat me gaan, vergeet me, laat me toch gaan\nZag je dan nooit dat zonder warmte geen liefde kan leven?\nEn ik mijn leven opnieuw wil dromen\nAlsof ik jou nooit had ontmoet?\n\nNooit wil ik weer bij jou zijn, jij doet me pijn\nNooit wil ik weer me door een ander laten leven\nRaak me niet aan, nee, raak me niet aan\nLaat me alleen, ik zag de wereld alleen door jouw ogen\nVoel me bedrogen, ik hield van jou\nDat heb jij nooit verstaan, nooit verstaan\n\nZie je nou wat ik jou steeds maar zeggen wou?\nDan weet je ook hoelang een lege nacht kan duren\nAls je hoopt en wacht, doodop en moegedacht\nBesef je nou dat iets in mij zal breken als ik jou verlaat?\n\nLaat me niet gaan, kijk me toch aan\nLaat me niet gaan, laat jij me zomaar gaan?	https://youtube.com/watch?v=tlqa2EVakU4	True	https://open.spotify.com/embed/track/6UkYDk7TbcBfO4uorMksKd?utm_source=generator	"Based on the lyrics of ""Laat Me Nu Gaan"" by Linda Lepomme from Belgium, the line ""Als je hoopt en wacht, doodop en moegedacht"" had the biggest influence on my prediction that this song will be a loser at the Eurovision Song Contest. This line suggests a feeling of hopelessness and exhaustion, which can be interpreted as a lack of energy and passion in the song. Additionally, the overall melancholic and sad tone of the song may not be well received by the audience and the judges, who tend to favor more upbeat and energetic songs at the competition."	"??? - Based on the line ""Als je hoopt en wacht, doodop en moegedacht"", which translates to ""If you hope and wait, exhausted and tired of thinking"", it seems that the song is about a person who is fed up with waiting for love and is ready to move on from a relationship that has caused them pain. This type of emotional and relatable content often appeals to Eurovision audiences and has been a common theme in past winning songs. Additionally, Linda Lepomme is an established artist from Belgium and her powerful vocals may also contribute to the success of the song. These factors combined make it likely that ""Laat Me Nu Gaan"" by Linda Lepomme from Belgium will be a winner at the Eurovision song contest."
